New Acc No,Old Acc No,Zone,Subzone,Longitude,Latitude
11905,2100211905,002 GITAMBAYA,GITAMBAYA,271747.6539,9871517.229
1058,2100201058,002 GITAMBAYA,GITAMBAYA,271825.8156,9871525.949
900,2100200900,002 GITAMBAYA,GITAMBAYA,271886.0814,9871471.614
887,2100200887,002 GITAMBAYA,GITAMBAYA,271880.6449,9871471.72
13571,2100213571,002 GITAMBAYA,GITAMBAYA,271902.9051,9871503.627
927,2100200927,002 GITAMBAYA,GITAMBAYA,271964.9091,9871482.731
20756,2100220756,002 GITAMBAYA,GITAMBAYA,271952.3599,9871466.464
20730,2100220730,002 GITAMBAYA,GITAMBAYA,271913.5596,9871446.324
920,2100200920,002 GITAMBAYA,GITAMBAYA,271539.1757,9871728.806
937,2100200937,002 GITAMBAYA,GITAMBAYA,271509.7885,9871674.35
7783,2100207783,002 GITAMBAYA,GITAMBAYA,271502.0874,9871650.528
8471,2100208471,002 GITAMBAYA,GITAMBAYA,271443.7425,9871588.844
15994,2100215994,002 GITAMBAYA,GITAMBAYA,271426.5757,9871594.804
8016,2100208016,002 GITAMBAYA,GITAMBAYA,271446.619,9871690.194
723,2100200723,002 GITAMBAYA,GITAMBAYA,271453.4512,9871709.868
276,2100200276,002 GITAMBAYA,GITAMBAYA,271460.7431,9871735.164
11985,2100211985,002 GITAMBAYA,GITAMBAYA,271451.5994,9871730.439
941,2100200941,002 GITAMBAYA,GITAMBAYA,271391.678,9871770.286
881,2100200881,002 GITAMBAYA,GITAMBAYA,271385.6149,9871738.999
9108,2100209108,002 GITAMBAYA,GITAMBAYA,271373.2333,9871721.939
16957,2100216957,002 GITAMBAYA,GITAMBAYA,271345.1924,9871653.18
16324,2100216324,002 GITAMBAYA,GITAMBAYA,271342.3961,9871645.822
9113,2100209113,002 GITAMBAYA,GITAMBAYA,271312.15,9871624.381
9367,2100209367,002 GITAMBAYA,GITAMBAYA,271243.1257,9871679.76
16989,2100216989,002 GITAMBAYA,GITAMBAYA,271319.9884,9871714.527
6513,2100206513,002 GITAMBAYA,GITAMBAYA,271344.6005,9871752.795
12047,2100212047,002 GITAMBAYA,GITAMBAYA,271339.1814,9871780.091
957,2100200957,002 GITAMBAYA,GITAMBAYA,271271.6924,9871739.949
19901,2100219901,002 GITAMBAYA,GITAMBAYA,271336.7061,9872149.076
20058,2100220058,002 GITAMBAYA,GITAMBAYA,271360.4004,9872147.895
20236,2100220236,002 GITAMBAYA,GITAMBAYA,271390.588,9872199.052
13830,2100213830,002 GITAMBAYA,GITAMBAYA,271405.4723,9872193.754
9766,2100209766,002 GITAMBAYA,GITAMBAYA,271399.6089,9872194.063
10604,2100210604,002 GITAMBAYA,GITAMBAYA,271422.0296,9872260.809
